Year,Wind Speed (m/s),Machine Efficiency,Power Loss,Maintenance Loss,Total Loss,Machine Lifespan (yrs),Net Output (MW),District,Hub Height (m),Rotor Swept Area (m²),Loss Factor,Maintenance Schedule
2023,4.18,0.86,0.09,0.03,0.12,17,7.92,Ambasamudram,120,962,0.139,Biannual
2023,4.49,0.895,0.113,0.022,0.136,17,8.68,Ambasamudram,120,962,0.139,Biannual
2023,4.17,0.94,0.071,0.026,0.096,17,8.85,Ambasamudram,120,962,0.139,Biannual
2023,4.21,0.855,0.089,0.026,0.115,17,7.96,Ambasamudram,120,962,0.139,Biannual
2023,7.94,0.853,0.057,0.023,0.08,17,15.59,Ambasamudram,120,962,0.139,Biannual
2023,4.75,0.855,0.111,0.025,0.136,17,8.78,Ambasamudram,120,962,0.139,Biannual
2023,9.29,0.9,0.061,0.013,0.075,17,19.33,Ambasamudram,120,962,0.139,Biannual
2023,4.05,0.93,0.055,0.015,0.07,17,8.75,Ambasamudram,120,962,0.139,Biannual
2023,4.78,0.934,0.118,0.017,0.136,17,9.65,Ambasamudram,120,962,0.139,Biannual
2023,9.15,0.893,0.052,0.025,0.078,17,18.85,Ambasamudram,120,962,0.139,Biannual
2023,10.17,0.86,0.076,0.022,0.097,17,19.74,Ambasamudram,120,962,0.139,Biannual
2023,5.16,0.892,0.085,0.023,0.108,17,10.25,Ambasamudram,120,962,0.139,Biannual
2023,11.77,0.864,0.066,0.012,0.078,17,23.44,Ambasamudram,120,962,0.139,Biannual
2023,6.18,0.901,0.078,0.02,0.097,17,12.58,Ambasamudram,120,962,0.139,Biannual
2023,9.91,0.899,0.114,0.016,0.13,17,19.36,Ambasamudram,120,962,0.139,Biannual
2023,10.83,0.891,0.115,0.018,0.133,17,20.91,Ambasamudram,120,962,0.139,Biannual
2023,6.28,0.892,0.077,0.018,0.095,17,12.69,Ambasamudram,120,962,0.139,Biannual
2023,10.95,0.88,0.083,0.027,0.11,17,21.44,Ambasamudram,120,962,0.139,Biannual
2023,5.26,0.95,0.107,0.028,0.135,17,10.81,Ambasamudram,120,962,0.139,Biannual
2023,7.53,0.91,0.096,0.023,0.119,17,15.1,Ambasamudram,120,962,0.139,Biannual
2023,10.23,0.892,0.118,0.015,0.133,17,19.77,Ambasamudram,120,962,0.139,Biannual
2023,6.48,0.878,0.059,0.022,0.08,17,13.09,Ambasamudram,120,962,0.139,Biannual
2023,11.56,0.889,0.117,0.018,0.134,17,22.26,Ambasamudram,120,962,0.139,Biannual
2023,9.61,0.859,0.103,0.023,0.126,17,18.04,Ambasamudram,120,962,0.139,Biannual
2023,4.94,0.943,0.114,0.01,0.124,17,10.19,Ambasamudram,120,962,0.139,Biannual
2023,7.56,0.88,0.079,0.029,0.108,17,14.83,Ambasamudram,120,962,0.139,Biannual
2023,5.91,0.865,0.08,0.016,0.095,17,11.57,Ambasamudram,120,962,0.139,Biannual
2023,10.01,0.872,0.112,0.029,0.141,17,18.74,Ambasamudram,120,962,0.139,Biannual
2023,9.62,0.921,0.107,0.02,0.128,17,19.31,Ambasamudram,120,962,0.139,Biannual
2023,7.33,0.899,0.102,0.029,0.131,17,14.32,Ambasamudram,120,962,0.139,Biannual
2023,7.62,0.934,0.056,0.018,0.074,17,16.48,Ambasamudram,120,962,0.139,Biannual
2023,10.23,0.864,0.079,0.016,0.095,17,20,Ambasamudram,120,962,0.139,Biannual
2023,6.48,0.875,0.081,0.022,0.103,17,12.72,Ambasamudram,120,962,0.139,Biannual
2023,11.76,0.903,0.09,0.022,0.113,17,23.55,Ambasamudram,120,962,0.139,Biannual
2023,7.54,0.869,0.064,0.015,0.079,17,15.07,Ambasamudram,120,962,0.139,Biannual
2023,8.82,0.896,0.083,0.014,0.096,17,17.87,Ambasamudram,120,962,0.139,Biannual
2023,11.17,0.873,0.111,0.017,0.128,17,21.26,Ambasamudram,120,962,0.139,Biannual
2023,10.08,0.869,0.06,0.018,0.077,17,20.21,Ambasamudram,120,962,0.139,Biannual
2023,11.88,0.947,0.088,0.021,0.109,17,25.06,Ambasamudram,120,962,0.139,Biannual
2023,5.11,0.933,0.091,0.025,0.117,17,10.53,Ambasamudram,120,962,0.139,Biannual
2023,8.65,0.949,0.09,0.026,0.117,17,18.12,Ambasamudram,120,962,0.139,Biannual
2023,6.85,0.95,0.052,0.018,0.07,17,15.12,Ambasamudram,120,962,0.139,Biannual
2023,6.14,0.934,0.106,0.023,0.128,17,12.5,Ambasamudram,120,962,0.139,Biannual
